Movie Name,Rank,Year,Rating,Release Date, Commercial description,Number of Reviews
Ingrid Goes West (2017),21,2017,6.6,"25 August 2017 (USA)
",An unhinged social media stalker moves to LA and insinuates herself into the life of an Instagram star.,158
American Made (2017),22,2017,7.2,"29 September 2017 (USA)
","The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",335
Dunkirk (2017),23,2017,7.9,"21 July 2017 (USA)
","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",2426
"I, Tonya (2017)",24,2017,7.5,"19 January 2018 (USA)
","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",492
Wind River (2017),25,2017,7.7,"18 August 2017 (USA)
",A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,636
Spider-Man: Homecoming (2017),26,2017,7.4,"7 July 2017 (USA)
","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",1385
The Big Sick (2017),27,2017,7.5,"14 July 2017 (USA)
","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",367
Jumanji: Welcome to the Jungle (2017),28,2017,6.9,"20 December 2017 (USA)
","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",898
Colossal (2016),29,2017,6.2,"21 April 2017 (Canada)
","Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",334
Wonder (2017),30,2017,8,"17 November 2017 (USA)
","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",494
The Killing of a Sacred Deer (2017),31,2017,7,"3 November 2017 (USA)
","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",869
The Meyerowitz Stories (2017),32,2017,6.9,"13 October 2017 (USA)
",An estranged family gathers together in New York City for an event celebrating the artistic work of their father.,139
Battle of the Sexes (2017),33,2017,6.7,"29 September 2017 (USA)
",The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,182
War Machine (2017),34,2017,6,"26 May 2017 (USA)
","An idiosyncratic general confronts opposition from enemies, allies, and bureaucrats while leading a massive rebuilding operation in Afghanistan.",193
The Beguiled (2017),35,2017,6.3,"30 June 2017 (USA)
",The unexpected arrival of a wounded Union soldier at a girls school in Virginia during the American Civil War leads to jealousy and betrayal.,278
It (2017),36,2017,7.3,"8 September 2017 (USA)
","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",1968
Brad's Status (2017),37,2017,6.5,"15 September 2017 (USA)
",A father takes his son to tour colleges on the East Coast and meets up with an old friend who makes him feel inferior about his life's choices.,142
Stronger (2017),38,2017,6.9,"29 September 2017 (USA)
","Stronger is the inspiring real life story of Jeff Bauman, an ordinary man who captured the hearts of his city and the world to become a symbol of hope after surviving the 2013 Boston Marathon bombing.",115
Patti Cake$ (2017),39,2017,6.8,"18 August 2017 (USA)
","PATTI CAKE$ is centered on aspiring rapper Patricia Dombrowski, a.k.a. Killa P, a.k.a. Patti Cake$, who is fighting an unlikely quest for glory in her downtrodden hometown in New Jersey.",62
Guardians of the Galaxy Vol. 2 (2017),40,2017,7.6,"5 May 2017 (USA)
","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",1066
The Lego Batman Movie (2017),41,2017,7.3,"10 February 2017 (USA)
","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",333
Atomic Blonde (2017),42,2017,6.7,"28 July 2017 (USA)
",An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,762
