Movie Name,Movie Genre
Black Panther (2018) , Sci-Fi
The Old Man & the Gun (2018) , Biography
The Old Man & the Gun (2018) , Comedy
The Old Man & the Gun (2018) , Crime
The Old Man & the Gun (2018) , Drama
The Old Man & the Gun (2018) , Romance
"Don't Worry, He Won't Get Far on Foot (2018) ", Biography
"Don't Worry, He Won't Get Far on Foot (2018) ", Comedy
"Don't Worry, He Won't Get Far on Foot (2018) ", Drama
Sorry to Bother You (2018) , Comedy
Sorry to Bother You (2018) , Fantasy
Sorry to Bother You (2018) , Sci-Fi
Mid90s (2018) , Comedy
Mid90s (2018) , Drama
Can You Ever Forgive Me? (2018) , Biography
Can You Ever Forgive Me? (2018) , Comedy
Can You Ever Forgive Me? (2018) , Crime
Can You Ever Forgive Me? (2018) , Drama
Instant Family (2018) , Comedy
Instant Family (2018) , Drama
Ant-Man and the Wasp (2018) , Action
Ant-Man and the Wasp (2018) , Adventure
Ant-Man and the Wasp (2018) , Comedy
Ant-Man and the Wasp (2018) , Sci-Fi
Widows (2018) , Crime
Widows (2018) , Drama
Widows (2018) , Thriller
The Mule (2018) , Crime
The Mule (2018) , Drama
The Mule (2018) , Thriller
You Were Never Really Here (2017) , Crime
You Were Never Really Here (2017) , Drama
You Were Never Really Here (2017) , Mystery
You Were Never Really Here (2017) , Thriller
Boy Erased (2018) , Biography
Boy Erased (2018) , Drama
Ben Is Back (2018) , Drama
Bird Box (2018) , Horror
Bird Box (2018) , Sci-Fi
Sicario: Day of the Soldado (2018) , Action
Sicario: Day of the Soldado (2018) , Adventure
Sicario: Day of the Soldado (2018) , Crime
Sicario: Day of the Soldado (2018) , Drama
Sicario: Day of the Soldado (2018) , Mystery
Sicario: Day of the Soldado (2018) , Thriller
"Love, Simon (2018) ", Comedy
"Love, Simon (2018) ", Drama
"Love, Simon (2018) ", Romance
Green Book (2018) , Biography
Green Book (2018) , Comedy
Green Book (2018) , Drama
Green Book (2018) , Music
Creed II (2018) , Drama
Creed II (2018) , Sport
White Boy Rick (2018) , Crime
White Boy Rick (2018) , Drama
Hostiles (2017) , Drama
Hostiles (2017) , Western
Bohemian Rhapsody (2018) , Biography
Bohemian Rhapsody (2018) , Drama
Bohemian Rhapsody (2018) , Music
Ready Player One (2018) , Action
Ready Player One (2018) , Adventure
Ready Player One (2018) , Sci-Fi
Game Night (2018) , Action
Game Night (2018) , Comedy
Game Night (2018) , Crime
Game Night (2018) , Thriller
Mandy (2018) , Action
Mandy (2018) , Mystery
Mandy (2018) , Thriller
Solo: A Star Wars Story (2018) , Action
Solo: A Star Wars Story (2018) , Adventure
Solo: A Star Wars Story (2018) , Sci-Fi
The Meg (2018) , Action
The Meg (2018) , Horror
The Meg (2018) , Sci-Fi
The Meg (2018) , Thriller
Tag (2018) , Action
Tag (2018) , Comedy
Blockers (2018) , Comedy
Mile 22 (2018) , Action
Mile 22 (2018) , Thriller
"Three Billboards Outside Ebbing, Missouri (2017) ", Comedy
"Three Billboards Outside Ebbing, Missouri (2017) ", Crime
"Three Billboards Outside Ebbing, Missouri (2017) ", Drama
Get Out (2017) , Horror
Get Out (2017) , Mystery
Get Out (2017) , Thriller
The Florida Project (2017) , Drama
John Wick: Chapter 2 (2017) , Action
John Wick: Chapter 2 (2017) , Crime
John Wick: Chapter 2 (2017) , Thriller
Lady Bird (2017) , Comedy
Lady Bird (2017) , Drama
The Shape of Water (2017) , Adventure
The Shape of Water (2017) , Drama
The Shape of Water (2017) , Fantasy
The Shape of Water (2017) , Romance
The Shape of Water (2017) , Sci-Fi
The Shape of Water (2017) , Thriller
Mother! (2017) , Drama
Mother! (2017) , Horror
Mother! (2017) , Mystery
Good Time (2017) , Crime
Good Time (2017) , Drama
Good Time (2017) , Thriller
Split (2016) , Horror
Split (2016) , Thriller
Logan (2017) , Action
Logan (2017) , Drama
Logan (2017) , Sci-Fi
Logan (2017) , Thriller
Call Me by Your Name (2017) , Drama
Call Me by Your Name (2017) , Romance
Brawl in Cell Block 99 (2017) , Action
Brawl in Cell Block 99 (2017) , Crime
Brawl in Cell Block 99 (2017) , Drama
Brawl in Cell Block 99 (2017) , Thriller
Star Wars: Episode VIII - The Last Jedi (2017) , Action
Star Wars: Episode VIII - The Last Jedi (2017) , Adventure
Star Wars: Episode VIII - The Last Jedi (2017) , Fantasy
Star Wars: Episode VIII - The Last Jedi (2017) , Sci-Fi
The Disaster Artist (2017) , Biography
The Disaster Artist (2017) , Comedy
The Disaster Artist (2017) , Drama
Blade Runner 2049 (2017) , Action
Blade Runner 2049 (2017) , Drama
Blade Runner 2049 (2017) , Mystery
Blade Runner 2049 (2017) , Sci-Fi
Blade Runner 2049 (2017) , Thriller
War for the Planet of the Apes (2017) , Action
War for the Planet of the Apes (2017) , Adventure
War for the Planet of the Apes (2017) , Drama
War for the Planet of the Apes (2017) , Sci-Fi
War for the Planet of the Apes (2017) , Thriller
Thor: Ragnarok (2017) , Action
Thor: Ragnarok (2017) , Adventure
Thor: Ragnarok (2017) , Comedy
Thor: Ragnarok (2017) , Fantasy
Thor: Ragnarok (2017) , Sci-Fi
Baby Driver (2017) , Action
Baby Driver (2017) , Crime
Baby Driver (2017) , Music
Baby Driver (2017) , Thriller
Logan Lucky (2017) , Comedy
Logan Lucky (2017) , Crime
Logan Lucky (2017) , Drama
Detroit (2017) , Crime
Detroit (2017) , Drama
Detroit (2017) , History
Detroit (2017) , Thriller
Ingrid Goes West (2017) , Comedy
Ingrid Goes West (2017) , Drama
American Made (2017) , Action
American Made (2017) , Comedy
American Made (2017) , Crime
American Made (2017) , Drama
Dunkirk (2017) , Action
Dunkirk (2017) , Drama
Dunkirk (2017) , History
Dunkirk (2017) , Thriller
Dunkirk (2017) , War
"I, Tonya (2017) ", Biography
"I, Tonya (2017) ", Comedy
"I, Tonya (2017) ", Drama
"I, Tonya (2017) ", Sport
Wind River (2017) , Crime
Wind River (2017) , Drama
Wind River (2017) , Mystery
Wind River (2017) , Thriller
Spider-Man: Homecoming (2017) , Action
Spider-Man: Homecoming (2017) , Adventure
Spider-Man: Homecoming (2017) , Sci-Fi
The Big Sick (2017) , Comedy
The Big Sick (2017) , Drama
The Big Sick (2017) , Romance
Jumanji: Welcome to the Jungle (2017) , Action
Jumanji: Welcome to the Jungle (2017) , Adventure
Jumanji: Welcome to the Jungle (2017) , Comedy
Jumanji: Welcome to the Jungle (2017) , Fantasy
Colossal (2016) , Comedy
Colossal (2016) , Drama
Colossal (2016) , Fantasy
Colossal (2016) , Sci-Fi
Colossal (2016) , Thriller
Wonder (2017) , Drama
Wonder (2017) , Family
The Killing of a Sacred Deer (2017) , Drama
The Killing of a Sacred Deer (2017) , Horror
The Killing of a Sacred Deer (2017) , Mystery
The Killing of a Sacred Deer (2017) , Thriller
The Meyerowitz Stories (2017) , Comedy
The Meyerowitz Stories (2017) , Drama
Battle of the Sexes (2017) , Biography
Battle of the Sexes (2017) , Comedy
Battle of the Sexes (2017) , Drama
Battle of the Sexes (2017) , Sport
War Machine (2017) , Comedy
War Machine (2017) , Drama
War Machine (2017) , War
The Beguiled (2017) , Drama
The Beguiled (2017) , Thriller
The Beguiled (2017) , War
It (2017) , Horror
Brad's Status (2017) , Comedy
Brad's Status (2017) , Drama
Brad's Status (2017) , Music
Stronger (2017) , Biography
Stronger (2017) , Drama
Patti Cake$ (2017) , Drama
Patti Cake$ (2017) , Music
Guardians of the Galaxy Vol. 2 (2017) , Action
Guardians of the Galaxy Vol. 2 (2017) , Adventure
Guardians of the Galaxy Vol. 2 (2017) , Comedy
Guardians of the Galaxy Vol. 2 (2017) , Sci-Fi
The Lego Batman Movie (2017) , Animation
The Lego Batman Movie (2017) , Action
The Lego Batman Movie (2017) , Comedy
The Lego Batman Movie (2017) , Family
